case_id,image_name,error_type,gt_class,gt_size_bucket,pred_class,confidence,box_area_ratio,near_edge,duplicate_of_tp,case_image_path
RT_AL_02_14488001_001,RT_AL_02_14488001.jpg,localization_error,porosity,Small,porosity,0.363053,0.00443043,False,False,errors/localization_error/RT_AL_02_14488001_001.jpg
RT_AL_02_14488032_001,RT_AL_02_14488032.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14488032_001.jpg
RT_AL_02_14488032_002,RT_AL_02_14488032.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14488032_002.jpg
RT_AL_02_14488032_003,RT_AL_02_14488032.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14488032_003.jpg
RT_AL_02_14488184_001,RT_AL_02_14488184.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14488184_001.jpg
RT_AL_02_14488184_002,RT_AL_02_14488184.jpg,false_negative,porosity,Medium,,,,False,False,errors/false_negative/RT_AL_02_14488184_002.jpg
RT_AL_02_14488379_001,RT_AL_02_14488379.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14488379_001.jpg
RT_AL_02_14488379_002,RT_AL_02_14488379.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14488379_002.jpg
RT_AL_02_14488461_001,RT_AL_02_14488461.jpg,false_negative,porosity,Medium,,,,False,False,errors/false_negative/RT_AL_02_14488461_001.jpg
RT_AL_02_14488480_001,RT_AL_02_14488480.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14488480_001.jpg
RT_AL_02_14488786_001,RT_AL_02_14488786.jpg,false_positive,,,slag_inclusion,0.288870,0.02941028,False,False,errors/false_positive/RT_AL_02_14488786_001.jpg
RT_AL_02_14488786_002,RT_AL_02_14488786.jpg,false_negative,porosity,Medium,,,,False,False,errors/false_negative/RT_AL_02_14488786_002.jpg
RT_AL_02_14488902_001,RT_AL_02_14488902.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14488902_001.jpg
RT_AL_02_14488902_002,RT_AL_02_14488902.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14488902_002.jpg
RT_AL_02_14488902_003,RT_AL_02_14488902.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14488902_003.jpg
RT_AL_02_14488902_004,RT_AL_02_14488902.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14488902_004.jpg
RT_AL_02_14489318_001,RT_AL_02_14489318.jpg,false_positive,,,slag_inclusion,0.270655,0.01418013,False,False,errors/false_positive/RT_AL_02_14489318_001.jpg
RT_AL_02_14489318_002,RT_AL_02_14489318.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14489318_002.jpg
RT_AL_02_14489419_001,RT_AL_02_14489419.jpg,localization_error,porosity,Small,porosity,0.328225,0.00081527,True,False,errors/localization_error/RT_AL_02_14489419_001.jpg
RT_AL_02_14489419_002,RT_AL_02_14489419.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14489419_002.jpg
RT_AL_02_14489609_001,RT_AL_02_14489609.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14489609_001.jpg
RT_AL_02_14489712_001,RT_AL_02_14489712.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14489712_001.jpg
RT_AL_02_14489712_002,RT_AL_02_14489712.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14489712_002.jpg
RT_AL_02_14489712_003,RT_AL_02_14489712.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14489712_003.jpg
RT_AL_02_14489712_004,RT_AL_02_14489712.jpg,false_negative,porosity,Small,,,,False,False,errors/false_negative/RT_AL_02_14489712_004.jpg
RT_AL_02_14489836_001,RT_AL_02_14489836.jpg,false_negative,porosity,Medium,,,,False,False,errors/false_negative/RT_AL_02_14489836_001.jpg
