case_id,image_name,error_type,gt_class,gt_size_bucket,pred_class,confidence,box_area_ratio,near_edge,duplicate_of_tp,case_image_path
RT_AL_02_14483871_001,RT_AL_02_14483871.jpg,false_negative,porosity,Large,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14483871_001.jpg
RT_AL_02_14487790_001,RT_AL_02_14487790.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14487790_001.jpg
RT_AL_02_14487790_002,RT_AL_02_14487790.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14487790_002.jpg
RT_AL_02_14487812_001,RT_AL_02_14487812.jpg,localization_error,porosity,Medium,porosity,0.395349,0.00769422,False,False,errors/EXP-P1-DET-004/localization_error/RT_AL_02_14487812_001.jpg
RT_AL_02_14487812_002,RT_AL_02_14487812.jpg,false_positive,,,porosity,0.366054,0.00596152,False,False,errors/EXP-P1-DET-004/false_positive/RT_AL_02_14487812_002.jpg
RT_AL_02_14487829_001,RT_AL_02_14487829.jpg,localization_error,porosity,Medium,porosity,0.286104,0.00772674,False,False,errors/EXP-P1-DET-004/localization_error/RT_AL_02_14487829_001.jpg
RT_AL_02_14487829_002,RT_AL_02_14487829.jpg,localization_error,porosity,Medium,porosity,0.255670,0.00860531,False,False,errors/EXP-P1-DET-004/localization_error/RT_AL_02_14487829_002.jpg
RT_AL_02_14487829_003,RT_AL_02_14487829.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14487829_003.jpg
RT_AL_02_14487914_001,RT_AL_02_14487914.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14487914_001.jpg
RT_AL_02_14487914_002,RT_AL_02_14487914.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14487914_002.jpg
RT_AL_02_14488023_001,RT_AL_02_14488023.jpg,localization_error,porosity,Small,porosity,0.335798,0.00148378,False,False,errors/EXP-P1-DET-004/localization_error/RT_AL_02_14488023_001.jpg
RT_AL_02_14488023_002,RT_AL_02_14488023.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488023_002.jpg
RT_AL_02_14488048_001,RT_AL_02_14488048.jpg,localization_error,porosity,Small,porosity,0.348000,0.00071944,True,False,errors/EXP-P1-DET-004/localization_error/RT_AL_02_14488048_001.jpg
RT_AL_02_14488048_002,RT_AL_02_14488048.jpg,false_positive,,,porosity,0.274209,0.00150229,False,True,errors/EXP-P1-DET-004/false_positive/RT_AL_02_14488048_002.jpg
RT_AL_02_14488048_003,RT_AL_02_14488048.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488048_003.jpg
RT_AL_02_14488048_004,RT_AL_02_14488048.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488048_004.jpg
RT_AL_02_14488048_005,RT_AL_02_14488048.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488048_005.jpg
RT_AL_02_14488048_006,RT_AL_02_14488048.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488048_006.jpg
RT_AL_02_14488048_007,RT_AL_02_14488048.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488048_007.jpg
RT_AL_02_14488048_008,RT_AL_02_14488048.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488048_008.jpg
RT_AL_02_14488068_001,RT_AL_02_14488068.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488068_001.jpg
RT_AL_02_14488068_002,RT_AL_02_14488068.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488068_002.jpg
RT_AL_02_14488068_003,RT_AL_02_14488068.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488068_003.jpg
RT_AL_02_14488091_001,RT_AL_02_14488091.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488091_001.jpg
RT_AL_02_14488212_001,RT_AL_02_14488212.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488212_001.jpg
RT_AL_02_14488328_001,RT_AL_02_14488328.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488328_001.jpg
RT_AL_02_14488328_002,RT_AL_02_14488328.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488328_002.jpg
RT_AL_02_14488422_001,RT_AL_02_14488422.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488422_001.jpg
RT_AL_02_14488422_002,RT_AL_02_14488422.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488422_002.jpg
RT_AL_02_14488422_003,RT_AL_02_14488422.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488422_003.jpg
RT_AL_02_14488432_001,RT_AL_02_14488432.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488432_001.jpg
RT_AL_02_14488432_002,RT_AL_02_14488432.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488432_002.jpg
RT_AL_02_14488506_001,RT_AL_02_14488506.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488506_001.jpg
RT_AL_02_14488506_002,RT_AL_02_14488506.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488506_002.jpg
RT_AL_02_14488600_001,RT_AL_02_14488600.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488600_001.jpg
RT_AL_02_14488625_001,RT_AL_02_14488625.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488625_001.jpg
RT_AL_02_14488625_002,RT_AL_02_14488625.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488625_002.jpg
RT_AL_02_14488661_001,RT_AL_02_14488661.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488661_001.jpg
RT_AL_02_14488661_002,RT_AL_02_14488661.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488661_002.jpg
RT_AL_02_14488733_001,RT_AL_02_14488733.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488733_001.jpg
RT_AL_02_14488733_002,RT_AL_02_14488733.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14488733_002.jpg
RT_AL_02_14488967_001,RT_AL_02_14488967.jpg,false_positive,,,porosity,0.352923,0.01285530,False,True,errors/EXP-P1-DET-004/false_positive/RT_AL_02_14488967_001.jpg
RT_AL_02_14489182_001,RT_AL_02_14489182.jpg,false_positive,,,porosity,0.286910,0.00927061,False,True,errors/EXP-P1-DET-004/false_positive/RT_AL_02_14489182_001.jpg
